"Frequency","Kanji","Onyomi","Kunyomi","Meaning_english","Njlpt","Schoolstd"
"1","日","ジツ, ニチ","-か, -び, ひ","day, sun, Japan, counter for days","5","小学1年"
"2","一","イツ, イチ","ひと.つ, ひと-","one","5","小学1年"
"3","国","コク","くに","country","5","小学2年"
"4","会","エ, カイ","あつ.まる, あ.わせる, あ.う","meeting, meet, party, association, interview, join","4","小学2年"
"5","人","ニン, ジン","-と, -り, ひと","person","5","小学1年"
"6","年","ネン","とし","year, counter for years","5","小学1年"
"7","大","タイ, ダイ","-おお.いに, おお.きい, おお-","large, big","5","小学1年"
"8","十","ジュッ, ジッ, ジュウ","と, とお","ten","5","小学1年"
"9","二","ジ, ニ","ふたた.び, ふた.つ, ふた","two","5","小学1年"
"10","本","ホン","もと","book, present, main, true, real, counter for long cylindrical things","5","小学1年"
"11","中","チュウ","あた.る, うち, なか","in, inside, middle, mean, center","5","小学1年"
"12","長","チョウ","おさ, なが.い","long, leader","5","小学2年"
"13","出","スイ, シュツ","い.だす, い.でる, -だ.す, だ.す, -で, で.る","exit, leave","5","小学1年"
"14","三","ゾウ, サン","みっ.つ, み.つ, み","three","5","小学1年"
"15","同","ドウ","おな.じ","same, agree, equal","4","小学2年"
"16","時","ジ","-どき, とき","time, hour","5","小学2年"
"17","政","ショウ, セイ","まん, まつりごと","politics, government","2","小学5年"
"18","事","ズ, ジ","つか.える, つか.う, こと","matter, thing, fact, business, reason, possibly","4","小学3年"
"19","自","シ, ジ","おの.ずと, おの.ずから, みずか.ら","oneself","4","小学2年"
"20","行","アン, ギョウ, コウ","おこ.なう, おこな.う, -いき, -い.き, -ゆき, -ゆ.き, ゆ.く, い.く","going, journey","5","小学2年"
"21","社","シャ","やしろ","company, firm, office, association, shrine","5","小学2年"
"22","見","ケン","み.せる, み.える, み.る","see, hopes, chances, idea, opinion, look at, visible","5","小学1年"
"23","月","ガツ, ゲツ","つき","month, moon","5","小学1年"
"24","分","ブ, フン, ブン","わ.かつ, わ.かる, わ.かれる, わ.け, わ.ける","part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100","5","小学2年"
"25","議","ギ","","deliberation, consultation, debate, consideration","2","小学4年"
"26","後","コウ, ゴ","おく.れる, あと, うしろ, うし.ろ, のち","behind, back, later","5","小学2年"
"27","前","ゼン","-まえ, まえ","in front, before","5","小学2年"
"28","民","ミン","たみ","people, nation, subjects","2","小学4年"
"29","生","ショウ, セイ","-う, む.す, な.す, な.る, なま-, なま, き, は.やす, は.える, お.う, う.む, うまれ, う.まれ, う.まれる, い.ける, い.かす, い.きる","life, genuine, birth","5","小学1年"
"30","連","レン","-づ.れ, つ.れる, つら.ねる, つら.なる","take along, lead, join, connect, party, gang, clique","2","小学4年"
"31","五","ゴ","いつ.つ, いつ","five","5","小学1年"
"32","発","ホツ, ハツ","はな.つ, つか.わす, おこ.る, あば.く, た.つ","discharge, departure, publish, emit, start from, disclose, counter for gunshots","4","小学3年"
"33","間","ケン, カン","あい, ま, あいだ","interval, space","5","小学2年"
"34","対","ツイ, タイ","むか.う, なら.ぶ, つれあ.い, そろ.い, こた.える, あいて","vis-a-vis, opposite, even, equal, versus, anti-, compare","3","小学3年"
"35","上","シャン, ショウ, ジョウ","よ.す, のぼ.す, のぼ.せる, のぼ.り, のぼ.る, -あ.がり, あ.がり, -あ.がる, あ.がる, -あ.げる, あ.げる, かみ, うわ-, -うえ, うえ","above, up","5","小学1年"
"36","部","ブ","-べ","section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine","3","小学3年"
"37","東","トウ","ひがし","east","5","小学2年"
"38","者","シャ","もの","someone, person","4","小学3年"
"39","党","トウ","むら, なかま","party, faction, clique","2","小学6年"
"40","地","ジ, チ","","ground, earth","4","小学2年"
"41","合","カッ, ガッ, ゴウ","-あ.わせる, あ.わせる, あ.わす, -あい, -あ.い, あい-, あ.い, -あ.う, あ.う","fit, suit, join, 0.1","3","小学2年"
"42","市","シ","いち","market, city, town","3","小学2年"
"43","業","ゴウ, ギョウ","わざ","business, vocation, arts, performance","4","小学3年"
"44","内","ダイ, ナイ","うち","inside, within, between, among, house, home","3","小学2年"
"45","相","ショウ, ソウ","あい-","inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy","3","小学3年"
"46","方","ホウ","-がた, -かた, かた","direction, person, alternative","4","小学2年"
"47","四","シ","よん, よっ.つ, よ.つ, よ","four","5","小学1年"
